ID,4CO_ID,Status,Name,Num turbines,Turbine capacity,Total IC,Composite,Shares IC with,Cluster,Commission year,Commission month,Owner,area,centroid_lon,centroid_lat,IC_density,turbine_density,shared_area,IC_numeric,num_turbines_numeric
90,NL1I,Development Zone,Lagelander,,,4000,89.0,90.0,88,,,,1445.9233531255488,3.9662879965495086,53.24305340283975,2.7663983649987305,,1445.9233531255488,4000.0000000000005,
91,NL1P,Development Zone,Wind Energy Search Area 8,,,2000,,91.0,91,,,,178.70803102154892,4.437707163281441,53.462702738427254,11.191438843388278,,178.70803102154892,2000.0000000000002,
92,NL1S,Development Zone,Nederwiek Noord II,,,2000,,92.0,92,,,,388.6933892854375,3.2311550261855015,53.420976289275046,5.145443825727886,,388.6933892854375,2000.0,
93,NL1H,Development Zone,Nederwiek Noord III,,,2000,,93.0,92,,,,220.9182705138821,3.296220613550421,53.51838062205962,9.053121751079088,,220.9182705138821,2000.0,
94,NL1J,Development Zone,Wind Energy Search Area 3,,,,,94.0,94,,,,288.45800188896413,3.6942577699079595,53.885512738452164,,,288.45800188896413,,
95,UK1J,Consent Application Submitted,Hornsea Project Four,180,14.4444444444444,2600,,95.0,95,,,Orsted,463.87234036165984,1.1821852677094462,54.14157802553013,5.604990368627929,0.38803779475116434,463.87234036165984,2600.0000000000005,180.0
96,UK4Y,Concept,Dogger Bank South (DBS East),150,10.0,1500,96.0,96.0,96,,,RWE,480.1756085488798,1.8995657620437147,54.54162547598093,3.1238571332956546,0.31238571332956544,480.1756085488798,1500.0,150.0
97,UK4X,Concept,Dogger Bank South (DBS West),150,10.0,1500,96.0,97.0,96,,,RWE,473.415374616989,1.4865431273835257,54.66063157116473,3.168464905081625,0.3168464905081625,473.415374616989,1500.0,150.0
98,UK80,Under Construction,Dogger Bank A,95,13.0,1235,,98.0,98,2024.0,5.0,"SSE, Equinor",523.4317935814885,1.9235372739938665,54.80949950550949,2.3594287071286466,0.1814945159329728,523.4317935814885,1235.0,95.0
99,UK0V,Pre-Construction,Dogger Bank B,95,13.0,1235,,99.0,99,2025.0,2.0,"Equinor, SSE, Vargronn",611.9430855410852,1.711048734009331,55.017464489190516,2.0181615401504254,0.15524319539618656,611.9430855410852,1235.0,95.0
100,UK1G,Pre-Construction,Sofia,100,14.0,1400,,100.0,100,2026.0,10.0,RWE,608.1901638995221,2.2647575533033515,55.03487044066532,2.3019116110389635,0.1644222579313545,608.1901638995221,1400.0,100.0
101,UK1F,Pre-Construction,Dogger Bank C,87,14.0,1218,,101.0,101,2026.0,2.0,"Equinor, SSE, Vargronn",559.7784952467728,2.867283041919577,55.085396608773344,2.1758606490645143,0.15541861779032243,559.7784952467728,1218.0,87.0
102,UK28,Operational,Teesside,27,2.3,62.1,,102.0,102,2014.0,4.0,EDF and others,4.137573836724687,-1.0906554726589355,54.64508739907721,15.008795601133855,6.525563304840806,4.137573836724687,62.099999999999994,27.0
103,UK70,Operational,Blyth Offshore Demonstrator - phase 1,5,8.3,41.5,,103.0,103,2018.0,6.0,EDF and others,3.6021414587499283,-1.3983806993393981,55.13190253631021,11.520924559803928,1.388063199976377,3.6021414587499283,41.5,5.0
104,UK79,Consent Authorised,Blyth Offshore Demonstrator - phase 2,5,11.68,58.4,,104.0,104,2026.0,1.0,"EDF, Vantage RE",7.063885137786405,-1.29511941283099,55.16158249102738,8.267405098025232,0.7078257789405165,14.603019599686023,28.24969789505698,2.0
105,UK79,Consent Authorised,Blyth Offshore Demonstrator - phase 2,,,,,104.0,105,2026.0,1.0,"EDF, Vantage RE",7.539134461899618,-1.4032252646736711,55.212763500168464,,,14.603019599686023,30.15030210494302,3.0
106,NL1O,Development Zone,Wind Energy Search Area 7,,,8000,,106.0,106,,,,1037.3524438075365,3.879999850186741,54.306709448627,7.711940187499349,,1037.3524438075365,8000.0,
107,NL1N,Development Zone,Wind Energy Search Area 6,,,10000,,107.0,107,,,,2174.265740180059,4.573563404538969,54.48772267873426,4.599253814840436,,2174.265740180059,10000.0,
108,DE3Z,Development Zone,N-14.1,,,2000,,108.0,107,,,,128.52457064497875,5.120612674537227,54.82529278820845,15.561226853070501,,128.52457064497875,2000.0,
109,NL1L,Development Zone,Wind Energy Search Area 5(middenberm),,,2000,,109.0,109,,,,407.3390150698348,5.108978795194539,54.36622716339352,4.90991514686389,,407.3390150698348,2000.0,
110,NL1K,Development Zone,Wind Energy Search Area 4,,,4000,,110.0,110,,,,1317.4520121604708,5.65542865036204,53.87182858035642,3.0361637183584826,,1317.4520121604708,4000.0,
111,DE21,Operational,Riffgat,30,3.6,108,,111.0,111,2014.0,3.0,Various,7.54149821898884,6.471382081768693,53.69545665741189,14.320761851811532,3.9779894032809815,7.54149821898884,108.0,30.0
112,NL0P,Development Zone,Ten noorden van de Waddeneilanden,46-70,,700,,112.0,112,,,,34.93082523774201,5.613745391024181,54.041115425657196,20.039606715150402,1.660424556398176,58.74436157903551,416.2370142285384,34.0
113,NL0P,Development Zone,Ten noorden van de Waddeneilanden,,,,,112.0,112,,,,23.813536341293496,5.762646843980773,54.04142683793535,,,58.74436157903551,283.76298577146156,24.0
114,NL18,Operational,Gemini,75,4.0,300,,114.0,112,2017.0,4.0,Siemens and others,35.4442289400505,5.902484582212831,54.04890853412293,8.464001304906722,2.1160003262266804,35.4442289400505,300.0,75.0
115,NL18,Operational,Gemini,75,4.0,300,,115.0,115,2017.0,4.0,Siemens and others,36.89809375328492,6.055566402881611,54.051595315158764,8.130501320906095,2.032625330226524,36.89809375328492,300.0,75.0
116,DE03,Pre-Construction,Borkum Riffgrund 3,83,11.0,913,,116.0,115,2025.0,12.0,"Orsted, Glennmont",78.38333736807719,6.206425111530314,54.058823583594815,11.647883729582471,1.0588985208711337,78.38333736807719,913.0,83.0
117,DE30,Operational,Borkum Riffgrund 2,52,8.0,416,,117.0,117,2018.0,12.0,Orsted and others,35.27883691046327,6.490688917926251,53.95762977256809,11.791771963905633,1.4739714954882042,35.27883691046327,416.0,52.0
118,DE04,Operational,Borkum Riffgrund 1,78,4.0,312,,118.0,117,2015.0,10.0,Orsted and others,36.69663033712465,6.556896689254527,53.97556540981953,8.502143034216438,2.1255357585541095,36.69663033712465,312.0,78.0
119,DE30,Operational,Borkum Riffgrund 2,4,8.0,32,,119.0,117,2018.0,12.0,Orsted and others,1.6019573643766944,6.614297811081345,53.991410009796134,19.97556284055717,2.4969453550696463,1.6019573643766944,32.0,4.0
120,DE01,Operational,Alpha Ventus,12,5.0,60,,120.0,117,2010.0,4.0,RWE and others,5.370241841210672,6.611905944262283,54.01812111561577,11.172681189060482,2.2345362378120965,5.370241841210672,60.0,12.0
121,DE26,Operational,Merkur,66,6.0,396,,121.0,117,2019.0,6.0,Various,42.4256501219553,6.559061078821483,54.05297520771118,9.33397599946429,1.5556626665773816,42.4256501219553,395.99999999999994,66.0
122,DE0K,Operational,Trianel Windpark Borkum II,16,6.34375,101.5,122.0,122.0,117,2020.0,7.0,Various,14.058440151682575,6.5020996121870684,54.07934542584521,7.219862154326704,1.138106349450515,14.058440151682575,101.5,16.0
123,DE0K,Operational,Trianel Windpark Borkum II,16,6.34375,101.5,122.0,123.0,117,2020.0,7.0,Various,16.21668353338308,6.44367844407035,54.04279900353166,6.258986295875834,0.9866382338326438,16.21668353338308,101.5,16.0
124,DE27,Operational,Trianel Windpark Borkum I,40,5.0,200,122.0,124.0,117,2015.0,9.0,Various,25.52883123505247,6.46597886032752,54.05659485477226,7.83427953119096,1.5668559062381922,25.52883123505247,199.99999999999997,40.0
125,DE28,Operational,Nordsee One,54,6.15,332.1,,125.0,125,2017.0,12.0,RWE and others,33.815465698756014,6.823632173863543,53.987654197177726,9.820950063456236,1.596902449342477,33.815465698756014,332.1,54.0
126,DE10,Concept,North Sea Cluster - Delta Nordsee 1&2,,,210,,126.0,125,2028.0,12.0,RWE,31.989432188627777,6.7747049536135995,54.05432532083118,6.56466794289193,,31.989432188627777,210.0,
127,DE0O,Concept,North Sea Cluster - Nordsee Three,60,6.66666666666667,400,,127.0,125,2028.0,12.0,RWE,29.05464492557666,6.848600982270798,54.03203793002806,13.767161878061087,2.065074281709163,29.05464492557666,400.0,60.0
128,DE2T,Concept,North Sea Cluster - Nordsee Two,30,14.4333333333333,433,,128.0,125,2027.0,1.0,RWE,17.012994237566588,6.888121229752809,54.06992231062732,25.451134230321887,1.7633580298144496,25.37620604550031,290.2966066581327,20.0
129,DE2T,Concept,North Sea Cluster - Nordsee Two,,,,,128.0,125,2027.0,1.0,RWE,8.363211807933725,6.913812536540022,54.09052763185463,,,25.37620604550031,142.70339334186735,10.0
130,DE13,Operational,Gode Wind 1 and 2,55,6.0,330,,130.0,125,2016.0,9.0,Orsted and others,42.134255267805436,6.985553365468241,54.02312634711685,7.832107103887778,1.3053511839812963,42.134255267805436,330.0,55.0
131,DE13,Operational,Gode Wind 1 and 2,42,6.0,252,,131.0,125,2016.0,9.0,Orsted and others,27.592219490585432,7.007313556641892,54.082960298002355,9.133009400928524,1.5221682334880873,27.592219490585432,252.0,42.0
132,DE2S,Concept,North Sea Cluster - Gode Wind,,,225,,132.0,125,2027.0,1.0,RWE,16.129017355116076,7.064500422014151,54.05145424942627,13.950012889572015,,16.129017355116076,225.0,
133,DE0H,Pre-Construction,Gode Wind 3,23,11.0,253,,133.0,125,2024.0,12.0,"Orsted, Nuveen",19.06560207003842,7.10645754907608,54.0467595641647,13.269971704569945,1.2063610640518132,19.06560207003842,253.0,23.0
134,NL1M,Development Zone,Doordewind I,,,2000,,134.0,134,,,,291.6541079219051,5.515584547364517,54.262002115902554,6.857438128509169,,291.6541079219051,2000.0,
135,NL1U,Development Zone,Doordewind II,,,2000,134.0,135.0,134,,,,247.74315960421674,5.731370254586073,54.28184579540251,8.07287677768827,,247.74315960421674,2000.0,
136,DE3B,Development Zone,N-9.2,,,2000,,136.0,136,,,,149.54392557826642,5.702955276613971,54.514096275022155,13.373996919408572,,149.54392557826642,1999.9999999999998,
